Teste;Containers;Corte;Paginação;Count;Execução;Resultado;Duração;Lista de Containers;
Count(1001);1;DISTINCT;ROWNUM;NORMAL;1;1001;454;82 ;
Paginacao;1;DISTINCT;ROWNUM;NORMAL;1;N/A;537;82 ;
Count(1001);5;DISTINCT;ROWNUM;NORMAL;1;1001;93;88 96 72 66 95 ;
Paginacao;5;DISTINCT;ROWNUM;NORMAL;1;N/A;779;88 96 72 66 95 ;
Count(1001);10;DISTINCT;ROWNUM;NORMAL;1;1001;162;3 92 45 74 4 86 53 27 58 19 ;
Paginacao;10;DISTINCT;ROWNUM;NORMAL;1;N/A;832;3 92 45 74 4 86 53 27 58 19 ;
Count(1001);25;DISTINCT;ROWNUM;NORMAL;1;1001;245;25 83 49 80 93 61 63 58 16 47 97 27 18 57 70 20 30 22 24 5 45 69 4 15 99 ;
Paginacao;25;DISTINCT;ROWNUM;NORMAL;1;N/A;868;25 83 49 80 93 61 63 58 16 47 97 27 18 57 70 20 30 22 24 5 45 69 4 15 99 ;
Count(1001);50;DISTINCT;ROWNUM;NORMAL;1;1001;424;14 2 21 25 83 43 9 27 20 89 22 50 30 86 3 99 7 52 38 69 23 41 91 65 24 17 58 39 60 88 49 73 48 31 19 92 18 97 84 5 80 47 66 10 51 74 15 54 63 71 ;
Paginacao;50;DISTINCT;ROWNUM;NORMAL;1;N/A;1100;14 2 21 25 83 43 9 27 20 89 22 50 30 86 3 99 7 52 38 69 23 41 91 65 24 17 58 39 60 88 49 73 48 31 19 92 18 97 84 5 80 47 66 10 51 74 15 54 63 71 ;
Count(1001);100;DISTINCT;ROWNUM;NORMAL;1;1001;724;21 94 58 38 57 24 46 44 26 49 82 92 63 19 85 27 42 54 100 35 29 83 9 61 18 6 91 45 56 76 72 71 73 11 52 20 10 86 36 59 62 8 75 16 93 12 53 48 31 66 34 89 79 96 41 32 90 50 5 1 33 70 25 88 97 81 4 84 95 17 15 80 28 14 68 69 60 78 98 99 22 43 40 64 37 55 77 47 3 39 7 13 87 23 74 30 2 51 67 65 ;
Paginacao;100;DISTINCT;ROWNUM;NORMAL;1;N/A;1542;21 94 58 38 57 24 46 44 26 49 82 92 63 19 85 27 42 54 100 35 29 83 9 61 18 6 91 45 56 76 72 71 73 11 52 20 10 86 36 59 62 8 75 16 93 12 53 48 31 66 34 89 79 96 41 32 90 50 5 1 33 70 25 88 97 81 4 84 95 17 15 80 28 14 68 69 60 78 98 99 22 43 40 64 37 55 77 47 3 39 7 13 87 23 74 30 2 51 67 65 ;
Count(1001);1;DISTINCT;ROWNUM;SUBSELECT;1;1001;121;82 ;
Paginacao;1;DISTINCT;ROWNUM;SUBSELECT;1;N/A;13;82 ;
Count(1001);5;DISTINCT;ROWNUM;SUBSELECT;1;1001;48;88 96 72 66 95 ;
Paginacao;5;DISTINCT;ROWNUM;SUBSELECT;1;N/A;42;88 96 72 66 95 ;
Count(1001);10;DISTINCT;ROWNUM;SUBSELECT;1;1001;69;3 92 45 74 4 86 53 27 58 19 ;
Paginacao;10;DISTINCT;ROWNUM;SUBSELECT;1;N/A;55;3 92 45 74 4 86 53 27 58 19 ;
Count(1001);25;DISTINCT;ROWNUM;SUBSELECT;1;1001;1707;25 83 49 80 93 61 63 58 16 47 97 27 18 57 70 20 30 22 24 5 45 69 4 15 99 ;
Paginacao;25;DISTINCT;ROWNUM;SUBSELECT;1;N/A;1069;25 83 49 80 93 61 63 58 16 47 97 27 18 57 70 20 30 22 24 5 45 69 4 15 99 ;
Count(1001);50;DISTINCT;ROWNUM;SUBSELECT;1;1001;1334;14 2 21 25 83 43 9 27 20 89 22 50 30 86 3 99 7 52 38 69 23 41 91 65 24 17 58 39 60 88 49 73 48 31 19 92 18 97 84 5 80 47 66 10 51 74 15 54 63 71 ;
Paginacao;50;DISTINCT;ROWNUM;SUBSELECT;1;N/A;1159;14 2 21 25 83 43 9 27 20 89 22 50 30 86 3 99 7 52 38 69 23 41 91 65 24 17 58 39 60 88 49 73 48 31 19 92 18 97 84 5 80 47 66 10 51 74 15 54 63 71 ;
Count(1001);100;DISTINCT;ROWNUM;SUBSELECT;1;1001;1411;21 94 58 38 57 24 46 44 26 49 82 92 63 19 85 27 42 54 100 35 29 83 9 61 18 6 91 45 56 76 72 71 73 11 52 20 10 86 36 59 62 8 75 16 93 12 53 48 31 66 34 89 79 96 41 32 90 50 5 1 33 70 25 88 97 81 4 84 95 17 15 80 28 14 68 69 60 78 98 99 22 43 40 64 37 55 77 47 3 39 7 13 87 23 74 30 2 51 67 65 ;
